,Before,After
2601,kawalkasusahok,kawal kasus ahok
2602,kawall,kawal
2603,kawalterus,kawal terus
2604,kbakaran,kebakaran
2605,kbusukan,kebusukan
2606,kdpan,ke depan
2607,kebereraniammu,keberanianmu
2608,kebhinekaan,kebinekaan
2609,kebhinnekaan,kebinekaan
2610,kebhinnekaannya,kebinekaannya
2611,kebncian,kebencian
2612,kebon,kebun
2613,kedholiman,kezaliman
2614,keepcalm,tetap tenang
2615,kegeeran,terlalu gede rasa
2616,keiknya,sepertinya
2617,kejadia,kejadian
2618,kejahatankejahatannya,kejahatan kejahatannya
2619,kejakarta,ke jakarta
2620,kejaliman,kezaliman
2621,kekecewan,kekecewaan
2622,kekuasaa,kekuasaan
2623,kekuatanya,kekuatannya
2624,kelen,kalian
2625,kelles,kali
2626,kemane,kemana
2627,kembangin,kembangkan
2628,keminter,sok pintar
2629,kemnangan,kemenangan
2630,kencengin,kencangkan
2631,kepntingn,kepentingan
2632,kera2,kera kera
2633,kerna,karena
2634,kesalahanya,kesalahannya
2635,ketidakadilan,ke tidak adilan
2636,kezholiman,kezaliman
2637,killafah,khilafah
2638,kirain,kiraan
2639,kitaahok,kita ahok
2640,kkk,kakak
2641,kkuasaan,kekuasaan
2642,kliatannya,kelihatannya
2643,kliatn,kelihatan
2644,klmat,kalimat
2645,kmbali,kembali
2646,kmenangn,kemenangan
2647,kmunduran,kemunduran
2648,knows,tahu
2649,ko,kok
2650,kodekeras,kode keras
2651,koentji,kunci
2652,kolojengking,kalajengking
2653,koment,komen
2654,komplek,kompleks
2655,koncox,teman
2656,konsititusi,konstitusi
2657,konslet,korsleting
2658,konstitusionalitas,konstitusi
2659,korputor,koruptor
2660,kouptor,koruptor
2661,kpda,kepada
2662,kredibility,kredibilitas
2663,kren,keren
2664,krena,karena
2665,kresten,kristen
2666,krnkebanykn,karena banyak
2667,ksus,kasus
2668,ktika,ketika
2669,kudrat,kuadrat
2670,kui,itu
2671,kultiwiit,twit
2672,kuwi,itu
2673,kwal,kawal
2674,kwalitas,kualitas
2675,kwan,kawan
2676,kwwkwkwkwkwkwkkw,wkwk
2677,kya,kayak
2678,ladenin,meladeni
2679,laki2,laki laki
2680,lakuin,lakukan
2681,lalulintas,lalu lintas
2682,lambemu,mulutmu
2683,lambungkaan,lambungkan
2684,lambungkeun,lambungkan
2685,lanang,laki laki
2686,landasanya,landasannya
2687,lanjoot,lanjut
2688,lanjutkeun,lanjutkan
2689,lanjutt,lanjut
2690,laskarbanyuwangi,laskar banyuwangi
2691,lawa,lawan
2692,lawanlawannya,lawan lawannya
2693,leaders,pemimpin
2694,lebih2,lebih lebih
2695,lelaguan,mendengarkan lagu
2696,lewatin,melewati
2697,lewatkan,melewati
2698,lgsug,langsung
2699,lha,lah
2700,lisanny,lisannya
2701,lkp,lengkap
2702,lndasan,landasan
2703,loh,lah
2704,lovers,pecinta
2705,luarbiasa,luar biasa
2706,lucu2an,lucu lucuan
2707,luh,kamu
2708,lurahataucamat,lurah atau camat
2709,ma,sama
2710,maapin,maafkan
2711,mabok,mabuk
2712,mabu,mabuk
2713,maenan,mainan
2714,mah,adalah
2715,mahluk,makhluk
2716,mahokers,ahoker
2717,mahu,mau
2718,maidah,almaidah
2719,majuteruspantangmundur,maju terus pantang mundur
2720,makanmakannya,makan makannya
2721,makanye,makanya
2722,maksa,memaksa
2723,maksdnya,maksudnya
2724,maksih,terima kasih
2725,malahnantanginumatislam,malah menantang umat islam
2726,males,malas
2727,maluin,memalukan
2728,malumaluin,memalukan
2729,manaatausiapa,mana atau siapa
2730,manang,menang
2731,maning,lagi
2732,mantag,mantap
2733,mantapp,mantap
2734,manusia2,manusia manusia
2735,maoo,mau
2736,marabahaya,mara bahaya
2737,masalalu,masa lalu
2738,masayarakat,masyarakat
2739,mascot,maskot
2740,masiih,masih
2741,masing2,masing masing
2742,matimatian,berusaha keras
2743,mayan,lumayan
2744,mbedain,membedakan
2745,mberi,memberi
2746,mberikan,memberikan
2747,mboten,tidak
2748,mbuat,membuat
2749,mburimu,di belakangmu
2750,mdhmdhn,mudah mudahan
2751,mecah,memecahkan
2752,mediskreditkan,mendiskreditkan
2753,medukungmu,mendukungmu
2754,mele,melulu
2755,melihatataumenyaksikan,melihat atau menyaksikan
2756,membadja,membaja
2757,memilh,memilih
2758,memperjuangakan,memperjuangkan
2759,mempressure,menekan
2760,menangin,memenangkan
2761,menbangun,membangun
2762,mendzolimi,menzalimi
2763,menfitnah,memfitnah
2764,mengganggap,menganggap
2765,menghalangmenghalangi,menghalangi
2766,menghayal,mengkhayal
2767,menghimbau,mengimbau
2768,mengugurkan,menggugurkan
2769,menizta,menista
2770,menjawad,menjawab
2771,menjd,menjadi
2772,menjdikan,menjadikan
2773,menjdkn,menjadikan
2774,menwrpa,menerpa
2775,menyakini,meyakini
2776,menyelamaykan,menyelamatkan
2777,merapihkan,merapikan
2778,merespon,menjawab
2779,meridhoi,meridai
2780,meriksa,memeriksa
2781,meris,miris
2782,mgunakan,menggunakan
2783,mhujat,menghujat
2784,mikir,pikir
2785,milyaran,miliar
2786,mimpin,memimpin
2787,minds,pikiran
2788,mingkem,diam
2789,misala,misalnya
2790,mjaga,menjaga
2791,mjd,menjadi
2792,mkstnya,maksudnya
2793,mlancarkan,melancarkan
2794,mlawan,melawan
2795,mlayu,lari
2796,mlh,malah
2797,mlihatmu,melihatmu
2798,mmbencii,membenci
2799,mmbla,membela
2800,mmikirkan,memikirkan
2801,mmng,memang
2802,mmpraktekkannya,mempraktikannya
2803,mncium,mencium
2804,mndengar,mendengar
2805,mndpt,mendapat
2806,mndukung,mendukung
2807,mndukungmu,mendukungmu
2808,mnebar,menebar
2809,mnenangkn,menenangkan
2810,mnghemat,menghemat
2811,mnghilang,menghilang
2812,mnghna,menghina
2813,mnghukumny,menghukumnya
2814,mngkin,mungkin
2815,mnista,menista
2816,mnjadi,menjadi
2817,mnjaga,menjaga
2818,mnjatuhkan,menjatuhkan
2819,mnjdi,menjadi
2820,mnjtuhkan,menjatuhkan
2821,mnkoplhukam,menko polhukam
2822,mnkumham,menkumham
2823,mntri,menteri
2824,mnunggu,menunggu
2825,mnyatu,menyatu
2826,modyare,mati
2827,moslems,muslim
2828,motong,memotong
2829,mrka,mereka
2830,msalah,masalah
2831,msi,masih
2832,msjid2,masjid masjid
2833,msuk,masuk
2834,msuport,mendukung
2835,msyarakat,masyarakat
2836,mudahmudahan,mudah mudahan
2837,mudhmudhn,mudah mudahan
2838,mukeje,muka jelek
2839,multiwarna,banyak warna
2840,mulutmuharimaumu,mulutmu harimaumu
2841,mulutny,mulutnya
2842,mulutrusakbasukiditolak,mulut rusak basuki ditolak
2843,munafikun,munafik
2844,munafiq,munafik
2845,munafiqun,munafik
2846,muncuk,muncul
2847,munculah,muncul
2848,musnahkn,memusnahkan
2849,musuhmusuhnya,musuh musuhnya
2850,nagara,negara
2851,nahu,tahu
2852,named,dinamakan
2853,nang,di
2854,nangiss,menangis
2855,nantangin,menantang
2856,napsu,nafsu
2857,ncib,persib
2858,ndakk,tidak
2859,ndoweh,dower
2860,ndukung,mendukung
2861,nego,negosiasi
2862,negriku,negeriku
2863,neh,nih
2864,neko,macam
2865,nenangin,menenangkan
2866,nextnya,selanjutnya
2867,nga,tidak
2868,ngacir,kabur
2869,ngaco,kacau
2870,ngahok,ahoker
2871,ngajarin,mengajarkan
2872,ngaji,mengaji
2873,ngakali,mengakali
2874,ngakunya,mengakuinya
2875,ngalahin,mengalahkan
2876,ngalahkan,mengalahkan
2877,ngamuk,mengamuk
2878,ngancam,mengancam
2879,nganiaya,menganiaya
2880,nganu,anu
2881,ngapa,kenapa
2882,ngatain,memaki
2883,ngatur,mengatur
2884,ngawasi,mengawasi
2885,ngebacot,bacot
2886,ngebales,membalas
2887,ngebelain,membela
2888,ngedit,mengedit
2889,ngefek,berakibat
2890,ngejar,mengejar
2891,ngejatuhin,menjatuhkan
2892,ngelarang,melarang
2893,ngelewati,melewati
2894,ngembat,mengembat
2895,ngena,mengena
2896,ngene,ini
2897,ngerti2,tau tau
2898,ngetrend,mengetren
2899,ngetweet,mentwit
2900,ngg,tidak
2901,ngimpi,memimpikan
2902,ngincer,mengincar
2903,nglawan,melawan
2904,nglunjak,melonjak
2905,ngomonge,bicaranya
2906,ngopi,minum kopi
2907,ngorek,mengorek
2908,ngotorin,mengotori
2909,ngrusak,merusak
2910,ngucapin,mengucapkan
2911,ngundang,mengundang
2912,ngungsi,mengungsi
2913,ngunpulin,mengumpulkan
2914,ngunu,anu
2915,ngupload,mengunggah
2916,nguras,menguras
2917,ngurusin,mengurus
2918,ngutip,mengutip
2919,nimbulin,menimbulkan
2920,niru2,meniru
2921,niy,nih
2922,njink,anjing
2923,nocomment,tidak berkomentar
2924,nonggol,nongol
2925,nongkie,nongkrong
2926,nonton,menonton
2927,nov,november
2928,novnovnov,november
2929,nulis,menulis
2930,numbers,nomor
2931,numpang,menumpang
2932,nunggu,menunggu
2933,nunjuk,menunjuk
2934,nuntut,menuntut
2935,nurunin,menuruni
2936,ny,nya
2937,nyahok,ahok
2938,nyahoq,ahok
2939,nyama,sama
2940,nyang,yang
2941,nyebar,menyebar
2942,nyebarin,menyebarkan
2943,nyebut,menyebut
2944,nyerah,menyerah
2945,nykap,ibu
2946,nykapz,ibu
2947,nykp,ibu
2948,nyodorin,menyodorkan
2949,nyogok,menyogok
2950,nyumbang,menyumbang
2951,nyundul,menyundul
2952,nyunsep,terperosok
2953,nyuri,mencuri
2954,oatau,atau
2955,oataupolri,atau polri
2956,okay,ok
2957,okesiip,oke sip
2958,okt,oktober
2959,olang,orang
2960,olh,oleh
2961,opo,apa
2962,opportunis,oportunis
2963,optimisx,optimis
2964,ora,tidak
2965,orenken,orenkan
2966,orgnya,orangnya
2967,orngbaik,orang baik
2968,otong,titit
2969,pa,pak
2970,paakk,pak
2971,pagi2,pagi pagi
2972,pakafif,pak afif
2973,pakcik,pak cik
2974,palawan,pahlawan
2975,pamerin,memamerkan
2976,panasbug,panasbung
2977,pantengin,perhatikan
2978,pantes,pantas
2979,parlimen,parlemen
2980,pasu,pasukan
2981,pda,pada
2982,pdukung,pendukung
2983,pebruari,februari
2984,pelajrn,pelajaran
2985,pelcija,persija
2986,pemaen,pemain
2987,pemerintahanya,pemerintahannya
2988,pemimpinsejati,pemimpin sejati
2989,pemmpin,pemimpin
2990,pemrintah,pemerintah
2991,pen,ingin
2992,pengadila,pengadilan
2993,penghadangan,pengadangan
2994,pengkhianat,penghianat
2995,peningg,pening
2996,penistaagama,penista agama
2997,penistaalquran,penista alquran
2998,penistaquran,penista alquran
2999,penjagannya,penjaganya
3000,penjarakanaho,penjarakan ahok
3001,penjarakanahok,penjarakan ahok
3002,penjarakanpenistaagama,penjarakan penista agama
3003,penjarakanpenistagama,penjarakan penista agama
3004,penjarkan,penjarakan
3005,penjarq,penjarakan
3006,penunggangatauaktor,penunggang atau aktor
3007,penyelasain,penyelesaian
3008,peradilankan,peradilan
3009,perduli,peduli
3010,perjuanganmasihpanjang,perjuangan masih panjang
3011,perlemen,parlemen
3012,permanent,permanen
3013,persiden,presiden
3014,pertanggungjawabannya,tanggung jawabnya
3015,perusakke,perusak
3016,pghadangan,pengadangan
3017,pghargaan,penghargaan
3018,pghasiln,penghasilan
3019,pgluarn,pengeluaran
3020,phenomenal,fenomenal
3021,pict,gambar
3022,pidakan,pidanakan
3023,pilkasa,pemilihan kepala daerah
3024,pilm,film
3025,piluh,pilu
3026,pinteran,lebih pintar
3027,pipel,orang
3028,pjagaannya,penjagannya
3029,pjebat,pejabat
3030,pkl,pukul
3031,plaku,pelaku
3032,planggaran,pelanggaran
3033,playing,memainkan
3034,plersija,persija
3035,plintar,pintar
3036,pls,tolong
3037,pmimpin,pemimpin
3038,pncitraan,pencitraan
3039,pndkng,pendukung
3040,pngecu,pengecut
3041,pngorbananmu,pengorbananmu
3042,pngusung,pengusung
3043,pnistaan,penistaan
3044,pokoe,pokoknya
3045,pokokny,pokoknya
3046,polih,pulih
3047,political,politik
3048,politicians,polutikus
3049,politk,politik
3050,polriharusnetral,polri harus netral
3051,poltik,politik
3052,praperadilanpengadilan,praperadilan pengadilan
3053,prayforahok,pray for ahok
3054,prilaku,perilaku
3055,programataujanji,program atau janji
3056,proove,membuktikan
3057,proseshukum,proses hukum
3058,provocated,terprovokasi
3059,prtai,partai
3060,psantren2,pesantren pesantren
3061,psl,pasal
3062,pulitik,politik
3063,puna,punah
3064,pura2,pura pura
3065,puser,pusar
3066,putaranpilkada,putaran pilkada
3067,putaransaja,putaran saja
3068,quran,alquran
3069,rabb,rabi
3070,rabbal,rabi
3071,rabbika,rabi
3072,raimu,mukamu
3073,rakyatcerdas,rakyat cerdas
3074,rameken,ramaikan
3075,ramekeun,ramaikan
3076,rangorang,orang orang
3077,rates,nilai
3078,rbuan,ribu
3079,reak,teriak
3080,reborn,lahir kembali
3081,rebuan,ribuan
3082,rekayasana,rekayasanya
3083,renew,memperbarui
3084,ributin,meributkan
3085,ripd,daripada
3086,riziek,rizieq
3087,riziq,rizieq
3088,rkyt,rakyat
3089,robb,allah
3090,roll,gulungan
3091,rosulullah,rasulullah
3092,rp,rupiah
3093,rumongso,menurut
3094,runs,lari
3095,rushmoney,rush money
3096,salaam,salam
3097,salahny,salahnya
3098,salamdamai,salam damai
3099,salamsalamjarisolo,salam dari solo
3100,salamsatuputaran,salam satu putaran
3101,salh,salah
3102,saloom,salam
3103,samapai,sampai
3104,samapi,sampai
3105,sante,santai
3106,sare,tidur
3107,satua,satunya
3108,satuputaran,satu putaran
3109,saveahok,save ahok
3110,savefpideleteahok,save fpi delete ahok
3111,saveindonesia,save indonesia
3112,savepakahok,save pak ahok
3113,savetolerance,save toleransi
3114,sayah,saya
3115,sayamerasakan,saya merasakan
3116,sbagai,sebagai
3117,sbar,sabar
3118,sberapa,seberapa
3119,sbgai,sebagai
3120,sbgi,sebagai
3121,sblmnya,sebelumnya
3122,sbuk,sibuk
3123,sbun,sabun
3124,sbyahy,susilo bambang yudhoyono
3125,sbyudhoyono,susilo bambang yudhoyono
3126,scpatnya,secepatnya
3127,sdarla,sadarlah
3128,sdgkan,sedangkan
3129,sdrlah,sadarlah
3130,seadilseadilnya,seadil adilnya
3131,sebarken,sebarkan
3132,seberatseberatnya,seberat beratnya
3133,sediih,sedih
3134,segala,segala
3135,segitu,sebegitu
3136,segra,segera
3137,sejujur,sejujurnya
3138,sekedar,sekadar
3139,sekolompok,sekelompok
3140,selaen,selain
3141,selajutnya,selanjutnya
3142,selegowo,legawa
3143,selfinya,swafotonya
3144,semanga,semangat
3145,semangatt,semangat
3146,semangkin,semakin
3147,sembaranagan,sembarang
3148,semngt,semangat
3149,sensi,sensitif
3150,sensitifitas,sensitivitas
3151,sentara,sementara
3152,senyumaja,senyum saja
3153,seorg,seorang
3154,seorng,seorang
3155,separo2,setengah setengah
3156,seranganjantung,serangan jantung
3157,seseorg,seseorang
3158,setakat,sepakat
3159,sgelintir,segelintir
3160,sgl,segala
3161,sgpore,singapura
3162,sgra,segera
3163,shipping,pengangkutan
3164,sholatnya,salatnya
3165,shopback,belanja kembali
3166,shrusnya,seharusnya
3167,sia,kamu
3168,siapin,siapkan
3169,sibangsat,si bangsat
3170,sich,sih
3171,sidi,sidik
3172,siiaapp,siap
3173,sikaat,sikat
3174,sikafir,si kafir
3175,sikaya,si kaya
3176,simpat,sempat
3177,singkron,sinkron
3178,sionta,si onta
3179,situh,kamu
3180,sjak,sejak
3181,sjujurnya,sejujurnya
3182,ska,suka
3183,skalipun,sekalipun
3184,skarang,sekarang
3185,skg,sekarang
3186,sklompok,sekelompok
3187,skrny,sekiranya
3188,slamanya,selamanya
3189,slanjutnya,selanjutnya
3190,slese,selesai
3191,slmat,selamat
3192,slse,selesai
3193,slseikan,selesaikan
3194,sluruh,seluruh
3195,smakin,semakin
3196,smengat,semangat
3197,smgtt,semangat
3198,smp,sampai
3199,sngaja,sengaja
3200,socmed,media sosial
3201,sodaraku,saudaraku
3202,sokap,ayah
3203,soksokan,sok gaya
3204,solat,salat
3205,solodaritas,solidaritas
3206,songang,songong
3207,sono,sana
3208,soo,jadi
3209,sosmednya,media sosialnya
3210,speachless,terdiam
3211,spele,sepele
3212,spertii,seperti
3213,spertinya,sepertinya
3214,spti,seperti
3215,srigala,serigala
3216,srta,serta
3217,staystrong,tetap kuat
3218,stlah,setelah
3219,strength,kekuatan
3220,stronger,lebih kuat
3221,stts,status
3222,sttus,status
3223,suer,sumpah
3224,sumpahin,menyumpahi
3225,supo,super
3226,surban,serban
3227,surveynya,survei
3228,syilvie,sylvi
3229,sylviterus,sylvi terus
3230,symbol,simbol
3231,symuslim,saya muslim
3232,system,sistem
3233,taatulama,taat ulama
3234,tabokin,menabok
3235,tae,tai
3236,tahanahok,tahan ahok
3237,taiker,tai
3238,taikers,tai
3239,tajem,tajam
3240,takbela,tidak membela
3241,takda,tidak ada
3242,talking,membicarakan
3243,tambahin,tambahkan
3244,tampa,tanpa
3245,tampang2,tampang tampang
3246,tandinga,tandingan
3247,tangkapahok,tangkap ahok
3248,tangkappenistaagama,tangkap penista agama
3249,tangkappenjarakan,tangkap penjara
3250,tangkep,tangkap
3251,tanpapakai,tanpa pakai
3252,tanye,tanya
3253,taon,tahun
3254,taonan,tahunan
3255,tawakalna,tawakal
3256,tawaw,tawa
3257,teesangka,tersangka
3258,teeyus,terus
3259,tegakang,tegakkan
3260,tegakin,tegakkan
3261,tekibul,terkibul
3262,temans,teman
3263,temenan,berteman
3264,tenaang,tenang
3265,tenatng,tenang
3266,tenggelemin,tenggelamkan
3267,tep,tetap
3268,tepelongo,terperanjat
3269,teraniyaya,teraniaya
3270,terasangka,tersangka
3271,terdzolimi,terzalimi
3272,terjalimi,terzalimi
3273,terjd,terjadi
3274,terjerembab,terjerembap
3275,teroos,terus
3276,terorganisiir,terorganisasi
3277,tersangak,tersangka
3278,tersangk,tersangka
3279,tersengka,tersangka
3280,tertwa,tertawa
3281,teruss,terus
3282,terzolimi,terzalimi
3283,tesangka,tersangka
3284,tetapahok,tetap ahok
3285,tetapahokdjarot,tetap ahok djarot
3286,tetapkawal,tetap kawal
3287,tetapsemangatahok,tetap semangat ahok
3288,tetapwaspada,tetap waspada
3289,tetat,tetap
3290,tetatplah,tetaplah
3291,tetet,tetap
3292,teteup,tetap
3293,tgg jwb,tanggung jawab
3294,tangl,tanggal
3295,tnggl,tanggal
3296,tngal,tanggal
3297,thats,itu
3298,theirs,mereka
3299,thia,ini
3300,things,berpikir
3301,thrust,mempercayai
3302,tiati,hati hati
3303,tiba2,tiba tiba
3304,tidka,tidak
3305,timlen,lini masa
3306,timses,tim sukses
3307,tinggalin,tinggalkan
3308,tionghowa,tionghoa
3309,tipu2,tipu tipu
3310,titled,judul
3311,titokarna,tito karnavian
3312,tjadi,terjadi
3313,tjahaya,tjahaja
3314,tjanggih,canggih
3315,tjd,terjadi
3316,tl,lini masa
3317,tmnnya,temannya
3318,tnjakan,tanjakan
3319,tobatt,tobat
3320,toe,itu
3321,toleransidamai,toleransi damai
3322,topmarkotop,top
3323,tranding,tren
3324,transferanya,transferannya
3325,trbayang,terbayang
3326,trdakwa,terdakwa
3327,treak,teriak
3328,trends,tren
3329,trkenal,terkenal
3330,trmasuk,termasuk
3331,trnyta,ternyata
3332,trpeleset,terpeleset
3333,trpengaruh,terpengaruh
3334,trpksa,terpaksa
3335,trpuruk,terpuruk
3336,trsangka,tersangka
3337,trsngk,tersangka
3338,trsngka,tersangka
3339,trumps,trump
3340,truss,terus
3341,tsk,tersangka
3342,ttangga,tetangga
3343,ttap,tetap
3344,ttng,tentang
3345,tuh,itu
3346,tuk,untuk
3347,tungu,tunggu
3348,tvnya,televisinya
3349,twins,kembar
3350,tydack,tidak
3351,tyranny,tirani
3352,ucapqn,ucapan
3353,udhga,sudah tidak
3354,ue,gue
3355,ugalugalan,ugal ugalan
3356,ujungujungnya,ujung ujungnya
3357,ummat,umat
3358,umumin,mengumumkan
3359,ungkapkn,mengungkapkan
3360,untkmu,untukmu
3361,untukv,untukku
3362,usak,rusak
3363,ustot,ustaz
3364,uuduud,undang undang dasar
3365,uwong,orang
3366,vidio,video
3367,vote,memilih
3368,voters,pemilih
3369,vroh,bro
3370,waduhh,waduh
3371,wae,saja
3372,waktuny,waktunya
3373,walopun,walaupun
3374,wassalamukum,wasslamualaykum
3375,ways,arah
3376,welkam,selamat datang
3377,whats,apa
3378,wings,sayap
3379,wins,menang
3380,wkakwk,wkwk
3381,wkwkwkkw,wkwk
3382,wkwkwkwk,wkwk
3383,wkwkwkwwk,wkwk
3384,wl,walau
3385,wlopun,walaupun
3386,wlpun,walaupun
3387,wlwpn,walaupun
3388,wong,orang
3389,words,kata
3390,wow,wah
3391,wuih,wah
3392,yaa,ya
3393,yah,ya
3394,yak,ya
3395,yakk,ya
3396,yaopo,ya apa
3397,ye,iya
3398,ygvtidak,yang tidak
3399,yh,ya
3400,ysalaharah,salah arah
3401,zholim,zalim
3402,zholimi,zalim
3403,zolimi,menzalimi
3404,zong,apes
3405,zupeer,super
3406,20tahunpks,20 tahun pks
3407,2018gantigubernur,2018 ganti gubernur
3408,2019asalbukanjokowi,2019 asal bukan jokowi
3409,2019forjkw,2019 for jokowi
3410,2019gantikacung,2019 ganti kacung
3411,2019g,2019 ganti presiden
3412,2019ga,2019 ganti presiden
3413,2019ganti,2019 ganti presiden
3414,2019gantip,2019 ganti presiden
3415,2019gantipesinden,2019 ganti presiden
3416,2019gantipre,2019 ganti presiden
3417,2019gantipres,2019 ganti presiden
3418,2019gantipresid,2019 ganti presiden
3419,2019gantipreside,2019 ganti presiden
3420,2019gantipresiden,2019 ganti presiden
3421,2019gantipresidenbaru,2019 ganti presiden baru
3422,2019gantipresidenkacung,2019 ganti presiden kacung
3423,2019gantirezim,2019 ganti rezim
3424,2019gantisistem,2019 ganti sistem
3425,2019gantitelor,2019 ganti telor
3426,2019jokowilagi,2019 jokowi lagi
3427,2019jokowilanjutkan,2019 jokowi lanjutkan
3428,2019jokowiend,2019 jokowi selesai
3429,2019kitatetapjokowi,2019 kita tetap jokowi
3430,2019lanjutjokowi,2019 lanjut jokowi
3431,2019pilihjokowi,2019 pilih jokowi
3432,2019prabowoanismatta,2019 prabowo anis matta
3433,2019prabowopresiden,2019 prabowo presiden
3434,2019prabowopresident08,2019 prabowo presiden
3435,2019prabowori1,2019 prabowo satu
3436,2019presidenbaru,2019 presiden baru
3437,2019tenggelamkanjokowikesungaisiak,2019 tenggelamkan jokowi ke sungai siak
3438,2019t3tapjokowi,2019 tetap jokowi
3439,2019tetapjokow,2019 tetap jokowi
3440,2019tetapjokowi,2019 tetap jokowi
3441,2019tetapjokowiganti,2019 tetap jokowi ganti
3442,2019tetapjokowiyangdiganti,2019 tetap jokowi yang diganti
3443,abal2,abal abal
3444,aagym,abdullah gymnastiar
3445,4bdurrahman,abdurrahman
3446,aadren,adren
3447,aaghr,ah
3448,aah,ah
3449,aahh,ah
3450,aarrgghh,ah
3451,aakuu,aku
3452,aaminn,amin
3453,aanjing,anjing
3454,aarman,arman
3455,aaron,aron
3456,abah,ayah
3457,abam,ayah
3458,6ambang,bambang
3459,8angsat,bangsat
3460,80kg,delapan puluh kilogram
3461,80an,delapan puluhan
3462,8an,delapanan
3463,2jtnya,dua jutanya
3464,2x,dua kali
3465,2periode,dua periode
3466,24rb,dua puluh empat ribu
3467,20menit,dua puluh menit
3468,20rb,dua puluh ribu
3469,20tahun,dua puluh tahun
3470,27-Jun,dua puluh tujuh juni
3471,27m,dua puluh tujuh meter
3472,260jt,dua ratus enam puluh juta
3473,250juta,dua ratus lima puluh juta
3474,200rbu,dua ratus ribu
3475,298m,dua ratus sembilan puluh delapan meter
3476,200an,dua ratusan
3477,2th,dua tahun
3478,2thn,dua tahun
3479,2untukjabar,dua untuk jawa barat
3480,2untukjatim,dua untuk jawa timur
3481,14rb,empat belas ribu
3482,4d,empat dimensi
3483,4jam,empat jam
3484,4x,empat kali
3485,4minute,empat menit
3486,48km,empat puluh delapan kilometer
3487,48g,empat puluh gram
3488,40an,empat puluhan
3489,400km,empat ratus kilometer
3490,400t,empat ratus triliun
3491,4tahun,empat tahun
3492,16gb,enam belas giga byte
3493,16jam,enam belas jam
3494,16th,enam belas tahun
3495,6line,enam garis
3496,65kg,enam puluh lima kilogram
3497,6t,enam triliun
3498,5in1,five in one
3499,aa,kakak
3500,_klompok,kelompok
3501,_kepada,kepada
3502,15jt,lima belas juta
3503,5x,lima kali
3504,5katauntukhariini,lima kata untuk hari ini
3505,50rb,lima puluh ribu
3506,53thgolkar,lima puluh tiga tahun golkar
3507,500an,lima ratusan
3508,5th,lima tahun
3509,1st,pertama
3510,1jt,satu juta
3511,1kg,satu kilogram
3512,1periode,satu periode
3513,1t,satu triliun
3514,93tahun,sembilan puluh tiga tahun
3515,97miliar,sembilan puluh tujuh miliar
3516,9th,sembilan tahun
3517,10jt,sepuluh juta
3518,10kk,sepuluh juta
3519,10k,sepuluh ribu
3520,10rb,sepuluh ribu
3521,10th,sepuluh tahun
3522,120k,seratus dua puluh ribu
3523,145k,seratus empat puluh lima ribu
3524,149rb,seratus empat puluh sembilan ribu
3525,515ukm4w4t1,si sukmawati
3526,2oeharto,soeharto
3527,5oekarno,soekarno
3528,3some,threesome
3529,13rb,tiga belas ribu
3530,3jari,tiga jari
3531,3lauk10ribu,tiga lauk sepuluh ribu
3532,30s,tiga puluh detik
3533,35ribu,tiga puluh lima ribu
3534,35t,tiga puluh lima triliun
3535,30m,tiga puluh meter
3536,30rb,tiga puluh ribu
3537,30an,tiga puluhan
3538,300an,tiga ratusan
3539,3tahun,tiga tahun
3540,7oko,toko
3541,17an,tujuh belasan
3542,75jt,tujuh puluh lima juta
3543,7th,tujuh tahun
3544,ngacak,acak
3545,nadakah,adakah
3546,nadalah,adalah
3547,nade,adik
3548,nadek,adik
3549,nadilkan,adilkan
3550,nadilnya,adilnya
3551,ngadmin,admin
3552,nagak,agak
3553,nagama,agama
3554,nahok,ahok
3555,najaran,ajaran
3556,nakhir2,akhir akhir
3557,nakhirnya,akhirnya
3558,nakibat,akibat
3559,nakibatnya,akibatnya
3560,naktivis,aktivis
3561,naku,aku
3562,nane,aku
3563,naqu,aku
3564,nakun,akun
3565,nalbum,album
3566,nalesane,alesannya
3567,nalhamdulillah,alhamdulillah
3568,nalhmadulilah,alhamdullilah
3569,nalhasil,alhasil
3570,nalias,alias
3571,naloclair,aloclair
3572,naman,aman
3573,nambil,ambil
3574,ngambil2,ambil ambil
3575,namigo,amigo
3576,naamiin,amin
3577,namnesia,amnesia
3578,nanak,anak
3579,nanaknya,anaknya
3580,ndre,andre
3581,naneh,aneh
3582,nangkut,angkut
3583,nanies,anies
3584,nanj,anjing
3585,nanjing,anjing
3586,nasu,anjing
3587,nanjir,anjir
3588,nanjirr,anjir
3589,nantek,antek
3590,nantum,antum
3591,napadah,apa dah
3592,napalagi,apa lagi
3593,napasih,apa sih
3594,napaan,apaan
3595,napabila,apabila
3596,napakah,apakah
3597,napapun,apapun
3598,naparat,aparat
3599,narah,arah
3600,nargumen,argumen
3601,narsitektur,arsitektur
3602,nartinya,artinya
3603,nartis,artis
3604,nasset,aset
3605,nashobiyyah,ashabiyyah
3606,msia,asia
3607,nasing,asing
3608,nastagfirullah,astagfirullah
3609,nastaghfirullah,astagfirullah
3610,nasumsi,asumsi
3611,nasiik,asyik
3612,natap,atap
3613,natas,atas
3614,natau,atau
3615,nate,ate
3616,naura,aura
3617,nawak,awak
3618,nawal,awal
3619,nayah,ayah
3620,nayo,ayo
3621,ncomeonla,ayolah
3622,nbabi,babi
3623,nbaca,baca
